species,replicate,unique_trajectory_id,ADD,DELETE,MUTATE,KEEP,RESTORE,REFUSE,SHAPE_FAILED,decisions,accepted,semantic_invalid,semantic_invalid_rate,delete_then_restore,delete_then_recreate_new,inherited_survival,introduced_survival,objects_final,tombstones_final,dependency_demands_unsatisfied,dependency_recovery_events
danube2,0,7a386f25315490f2,1,4,0,0,95,0,0,100,5,95,0.95,2,0,7/7,1/1,8,0,0,0
danube2,1,7a386f25315490f2,1,4,0,0,95,0,0,100,5,95,0.95,2,0,7/7,1/1,8,0,0,0
danube2,2,7a386f25315490f2,1,4,0,0,95,0,0,100,5,95,0.95,2,0,7/7,1/1,8,0,0,0
lfm2.5,0,cc7cc0b1f4763920,0,53,10,12,10,13,2,98,25,73,0.7449,0,0,7/7,0/0,7,0,0,0
lfm2.5,1,cc7cc0b1f4763920,0,53,10,12,10,13,2,98,25,73,0.7449,0,0,7/7,0/0,7,0,0,0
lfm2.5,2,cc7cc0b1f4763920,0,53,10,12,10,13,2,98,25,73,0.7449,0,0,7/7,0/0,7,0,0,0
qwen3.5,0,5ad49f7e8558209c,58,25,6,0,0,0,11,89,19,70,0.7865,0,1,7/7,6/11,13,5,0,0
qwen3.5,1,5ad49f7e8558209c,58,25,6,0,0,0,11,89,19,70,0.7865,0,1,7/7,6/11,13,5,0,0
qwen3.5,2,5ad49f7e8558209c,58,25,6,0,0,0,11,89,19,70,0.7865,0,1,7/7,6/11,13,5,0,0
falcon,0,3f385b2ef0c3075c,46,13,3,20,7,6,5,95,56,39,0.4105,1,2,6/7,16/18,22,3,1,0
falcon,1,3f385b2ef0c3075c,46,13,3,20,7,6,5,95,56,39,0.4105,1,2,6/7,16/18,22,3,1,0
falcon,2,3f385b2ef0c3075c,46,13,3,20,7,6,5,95,56,39,0.4105,1,2,6/7,16/18,22,3,1,0
rwkv7,0,4cda7d6963ce9dd4,88,0,0,0,1,0,11,89,1,88,0.9888,0,0,7/7,1/1,8,0,0,0
rwkv7,1,4cda7d6963ce9dd4,88,0,0,0,1,0,11,89,1,88,0.9888,0,0,7/7,1/1,8,0,0,0
rwkv7,2,4cda7d6963ce9dd4,88,0,0,0,1,0,11,89,1,88,0.9888,0,0,7/7,1/1,8,0,0,0
RANDOM,0,451737948a77ddf0,15,34,19,5,24,3,0,100,100,0,0.0,19,7,3/7,9/15,12,10,3,2
RANDOM,1,7b95003fcee6aed8,20,33,28,2,16,1,0,100,100,0,0.0,9,16,2/7,8/20,10,17,3,2
RANDOM,2,77d4df3ac1f0afd3,19,26,31,4,16,4,0,100,100,0,0.0,12,9,5/7,11/19,16,10,1,1
